mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
22.881355953216552,0.12179262611219764,0.6284358978271485,0.02012389650731404,0.8,400,6,0.09,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7380965019656147,0.7381749939968585,0.7398118795221269,0.7508008505040307,0.7414525466680943,0.741667354531345,0.004729846694345051,46,0.959141582780362,0.9576263565413218,0.9593178785687171,0.9577528875154456,0.9584053466994233,0.9584488104210539,0.0006925086507818771,XGB
15.996565818786621,0.2794216202702309,0.6091816425323486,0.019009496279377414,0.7,400,4,0.07,0.6,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7433909719889084,0.740542898117894,0.7476665595888211,0.7545728562760365,0.7478976947669527,0.7468141961477224,0.004756993636756415,16,0.8159913941835628,0.8165485045779863,0.8151727219493492,0.8141004765130219,0.815114188371522,0.8153854571190884,0.0008354468578635162,XGB
13.325102949142456,0.1949091956077022,0.560593557357788,0.016555534887302693,0.7,300,4,0.05,0.7,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7379341953725593,0.7355984201668847,0.7433528520949017,0.7516745343388453,0.7430952533920732,0.7423310510730528,0.005542371712912164,43,0.7867968110563575,0.7871881817601255,0.7862001234875389,0.7848418026223513,0.7858470349097029,0.7861747907672152,0.0008122553278146972,XGB
26.742927694320677,0.15739016528408697,0.7143951416015625,0.10001756296297666,0.7,500,6,0.04,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.6}",0.7419422852111652,0.7416592122348866,0.7474712597963481,0.7547902446983719,0.7471092448972307,0.7465944493676006,0.0047792063977970325,18,0.9037297985492241,0.9027171960689062,0.9039154459610728,0.9038895407278167,0.9038292392183576,0.9036162441050756,0.000454040019390742,XGB
27.376596117019652,0.4198294246973479,0.6880690097808838,0.03474205921213381,0.9,500,6,0.07,0.8,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7407836049744247,0.7398220317078033,0.7415381273614489,0.7514491099791454,0.7473029232251847,0.7441791594496013,0.0044743599245155394,36,0.959605730013207,0.9582871706375606,0.9588674626140457,0.9581464454122111,0.9595161386537666,0.9588845894661582,0.000603482774430296,XGB
26.194857788085937,0.20171877096204158,0.6774649143218994,0.02946961489821004,0.9,650,5,0.09,0.7,"{'subsample': 0.9, 'n_estimators': 650, 'max_depth': 5, 'learning_rate': 0.09, 'colsample_bytree': 0.7}",0.7409949869307404,0.737769196924964,0.7450940602389367,0.7549435597774821,0.7456053212590316,0.744881425026231,0.005787987299163882,32,0.9403843299520476,0.9388809430362587,0.939725806805224,0.9384757077016301,0.9390847282828019,0.9393103031555924,0.0006720060341163813,XGB
22.117142486572266,0.49657178575547023,0.6404114723205566,0.021570785429329373,0.7,500,5,0.09,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7407355900387107,0.7405310396829322,0.7432473243285964,0.7506828507181864,0.7460206609252547,0.7442434931387362,0.0037869169121182624,35,0.9122092071388264,0.9131681279503503,0.9129251333851518,0.9125191515304781,0.913146003747964,0.9127935247505541,0.00037379073527398616,XGB
23.24075918197632,0.4232228487564691,0.6439918518066406,0.011736869247881615,0.8,650,4,0.04,0.7,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7431282510643786,0.7406078085194137,0.7489046854205865,0.7574181389870437,0.7482204171956822,0.747655860237421,0.005785406694884776,9,0.8157558448054396,0.8149149832575806,0.8148791924006727,0.8130716677675345,0.814353983505593,0.8145951343473641,0.0008842335911790212,XGB
18.719000148773194,0.27334656147881287,0.648049783706665,0.04744210591567303,0.7,400,5,0.05,0.7,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7426652928691855,0.739223338786718,0.7457413611123859,0.755719374461424,0.7471964674508844,0.7461091669361195,0.005530795423893221,22,0.8462832485430608,0.8453231110396717,0.8450801164922911,0.8446126400611014,0.8451341448398703,0.8452866521951992,0.0005504073718306556,XGB
16.256600761413573,0.17472510331768681,0.6050766468048095,0.010615438504277552,0.8,400,4,0.04,0.7,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7388238532980063,0.7358888039753797,0.7442699993371371,0.7529291705546122,0.743732183011335,0.743128802035294,0.005807990677276659,38,0.7911800916833727,0.7908819907041937,0.7900887177919693,0.7881693169920536,0.7898964427991904,0.7900433119941559,0.0010517736976456242,XGB
