mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,sweep_param,anchor_params
10.132577228546143,0.1895098251795974,0.48151936531066897,0.007807911804038134,0.7,0.05,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7376462179188803,0.7364108912026829,0.7433327214599299,0.7511310377882816,0.7442734156303061,0.7425588568000162,0.005271667044729014,1,0.7879198150985278,0.7877165300432387,0.7866132949733382,0.7846668876474986,0.786571155233065,0.7866975365991337,0.001155760912576038,XGB,colsample_bytree,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.001616859436036,0.16233635056261278,0.45810871124267577,0.01209670618633332,0.8,0.05,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.737881653226937,0.7364810425634205,0.7429246936808774,0.7516057087788537,0.7438919941464112,0.7425570184792999,0.0053399000888822235,2,0.7880934648796699,0.7884670823346667,0.7874777549078266,0.7856041527146227,0.7876981421804524,0.7874681194034477,0.0009916006293378434,XGB,colsample_bytree,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.043768453598023,0.2648805377355776,0.4753108501434326,0.01662251431051709,0.6,0.05,4,300,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7372728760477456,0.7359238694593297,0.7435543318087487,0.7513730235214334,0.7441784222844292,0.7424605046243373,0.005535698359130359,3,0.7868739623224501,0.7868565054391671,0.7858454670972245,0.7838926170818141,0.7861032001729438,0.78591435042272,0.0010896169891793487,XGB,colsample_bytree,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.108826160430908,0.38005091257855456,0.46930522918701173,0.009308372130067473,0.5,0.05,4,300,0.8,"{'colsample_bytree': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7376649793293102,0.735640205090766,0.7424452908693191,0.7511090919288799,0.7432136304998496,0.742014639543625,0.005364420987187478,4,0.7855966277049087,0.7858616702292135,0.7849790046965543,0.7826963506679009,0.7846402048812249,0.7847547716359605,0.0011166422009821902,XGB,colsample_bytree,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
9.774722146987916,0.2555585112984846,0.49560112953186036,0.03135066735269552,0.7,0.1,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7403488806626448,0.7409021995204624,0.7466790673009753,0.7536342118815617,0.7488825152076035,0.7460893749146494,0.004998679775525867,1,0.8217579540354336,0.8205229232013131,0.8206795045865525,0.8182893349492424,0.8196792542464137,0.8201857942037911,0.001156047825293585,XGB,learning_rate,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.001706790924072,0.2711959863335372,0.503709077835083,0.02969813431176259,0.7,0.07,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.07, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7392210241996704,0.7377715624941051,0.7459551394816413,0.7535615621127989,0.7474107149230824,0.7447840006422596,0.005752178285584987,2,0.8033363724073915,0.8027545483179633,0.8014596474384876,0.8005241407431636,0.8018490327871652,0.8019847483388343,0.0009845815197951845,XGB,learning_rate,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.268291711807251,0.3977728546755903,0.4903399467468262,0.0049755529057457825,0.7,0.05,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7376462179188803,0.7364108912026829,0.7433327214599299,0.7511310377882816,0.7442734156303061,0.7425588568000162,0.005271667044729014,3,0.7879198150985278,0.7877165300432387,0.7866132949733382,0.7846668876474986,0.786571155233065,0.7866975365991337,0.001155760912576038,XGB,learning_rate,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
11.057809114456177,0.34450568238909224,0.5018242359161377,0.028640994205679456,0.7,0.03,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7305847493184969,0.7294303413811966,0.7360969819344377,0.745020920971451,0.7375685782611576,0.7357403143733479,0.005585607032683873,4,0.7676053674912935,0.7676941146147955,0.7669372254256865,0.7647005701228986,0.7666225049156656,0.766711956514068,0.0010832581035590456,XGB,learning_rate,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
12.49956817626953,0.5996309580435158,0.5278266429901123,0.04423431150806373,0.7,0.05,5,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.7401142814609225,0.7370481979614301,0.7455456432064206,0.7543091490370643,0.7459153371167506,0.7445865217565176,0.005899871258846463,1,0.8267870035894003,0.826521996119078,0.8256800386625107,0.8252859409538876,0.8263809693822793,0.8261311897414313,0.0005591411460149555,XGB,max_depth,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
15.472886276245116,0.6918703958923546,0.5151352405548095,0.023759382823047317,0.7,0.05,6,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.7405228111730315,0.7378243697466138,0.7442986248145258,0.7531313029334231,0.745620363146865,0.7442794943628919,0.005214098434820768,2,0.881386015984871,0.8805186867681922,0.8806488710602977,0.8791894709028025,0.8808778143827293,0.8805241718197785,0.0007300472520854817,XGB,max_depth,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
10.130708599090577,0.18645326291486525,0.5324612140655518,0.06874007617071481,0.7,0.05,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.7376462179188803,0.7364108912026829,0.7433327214599299,0.7511310377882816,0.7442734156303061,0.7425588568000162,0.005271667044729014,3,0.7879198150985278,0.7877165300432387,0.7866132949733382,0.7846668876474986,0.786571155233065,0.7866975365991337,0.001155760912576038,XGB,max_depth,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
8.7613037109375,0.13462873321889074,0.47462902069091795,0.010130959474105446,0.7,0.05,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.7330312066492886,0.7318470965442807,0.7390780189578777,0.7466648004527863,0.7393437555769711,0.7379929756362409,0.005302705958278949,4,0.7617610222149197,0.7618608062441469,0.7609902768858808,0.7584807094058297,0.7602805683281995,0.7606746766157954,0.001237373609482966,XGB,max_depth,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.7}"
