mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
134.78822140693666,2.1773306941270043,2.603892612457275,0.22895114296639005,500,6,0.04,,"{'n_estimators': 500, 'min_samples_leaf': 6, 'max_features': 0.04, 'max_depth': None}",0.726503622532658,0.7226831264055126,0.7294733911553699,0.7372662924041016,0.7299199159693859,0.7291692696934056,0.0048040288510682,13,0.999710129058566,0.9996864312917085,0.9997112127654096,0.9997334094210998,0.9997569546504506,0.9997196274374469,2.3859060764290965e-05,RF
42.24750552177429,0.7652487524355209,2.7096776485443117,0.15823982644445944,900,6,0.01,16,"{'n_estimators': 900, 'min_samples_leaf': 6, 'max_features': 0.01, 'max_depth': 16}",0.7126260927374477,0.7114860515541126,0.7085373880144198,0.7215059632162106,0.7143209377979696,0.7136952866640321,0.004336494470130621,45,0.9709632579451766,0.9704951139209816,0.9696442251093198,0.9695661098085663,0.9700123538524722,0.9701362121273032,0.0005282469184585865,RF
51.13582673072815,1.6779245763988246,3.259651613235474,0.14254004699597544,1100,12,0.01,20,"{'n_estimators': 1100, 'min_samples_leaf': 12, 'max_features': 0.01, 'max_depth': 20}",0.7133543821403608,0.7126155088548248,0.7119225980144708,0.7216596862109229,0.7156633472534533,0.7150431044948066,0.0035396728425429237,43,0.9506954365960772,0.9499359034743341,0.9482523912964228,0.9502298349361136,0.9487757895592867,0.949577871172447,0.0009167800358142334,RF
44.81841907501221,0.7890708393936694,3.2167110443115234,0.2928751191774731,900,12,0.01,,"{'n_estimators': 900, 'min_samples_leaf': 12, 'max_features': 0.01, 'max_depth': None}",0.7141569830428458,0.7138154234088361,0.7102286672887379,0.7214658039251679,0.715839852334552,0.715101346000028,0.0036698809903293497,41,0.9614340826430141,0.9604098996015701,0.9566909329198048,0.9600751950906821,0.9589000406101671,0.9595020301730475,0.001621741709999637,RF
247.3124008178711,5.1756143618485355,3.3962936401367188,0.13231231121430861,700,6,0.06,20,"{'n_estimators': 700, 'min_samples_leaf': 6, 'max_features': 0.06, 'max_depth': 20}",0.7256937821728874,0.7228113157815581,0.728869614876682,0.7385605474227382,0.730392098674784,0.72926547178573,0.0053336201280923794,10,0.9992703825842638,0.9992162617846709,0.9992352542137829,0.9992442901671645,0.999216532238431,0.9992365441976627,2.0092562299321004e-05,RF
244.0766496181488,2.752013614933317,3.0335341930389403,0.09278096601193643,700,8,0.06,28,"{'n_estimators': 700, 'min_samples_leaf': 8, 'max_features': 0.06, 'max_depth': 28}",0.7253975762093079,0.722603879839284,0.729065271595307,0.738374395137646,0.7307588351969978,0.7292399915957086,0.0053773018564347375,11,0.9968736767918289,0.9968673211861299,0.9968513940657151,0.9969503128359484,0.9969184276089994,0.9968922264977242,3.658462671270091e-05,RF
347.5952629089355,4.039383552437819,4.686231088638306,0.15129207197836575,900,4,0.06,,"{'n_estimators': 900, 'min_samples_leaf': 4, 'max_features': 0.06, 'max_depth': None}",0.72568173000597,0.7226508445438709,0.7298725161764031,0.7379826125974537,0.7309876758498666,0.7294350758347129,0.005211059483210306,6,0.999999705546547,0.9999996787780513,0.9999995615223638,0.9999998368455306,0.9999998406694636,0.9999997246723913,1.0500300357259246e-07,RF
293.02588233947756,5.433025026637113,5.13621416091919,0.15347162768022224,1100,6,0.04,28,"{'n_estimators': 1100, 'min_samples_leaf': 6, 'max_features': 0.04, 'max_depth': 28}",0.7276109739976027,0.7245564124512547,0.7294641110754185,0.7386871644256804,0.7315514967953131,0.7303740317490538,0.004749773402987701,1,0.9997584117767105,0.9997586412209595,0.9997761240259486,0.999779874029454,0.9997696118682641,0.9997685325842672,8.805600869423392e-06,RF
32.66648120880127,0.43742966180704046,2.163973808288574,0.07448220391378374,700,8,0.01,16,"{'n_estimators': 700, 'min_samples_leaf': 8, 'max_features': 0.01, 'max_depth': 16}",0.7111056843504855,0.7098319273321632,0.705639494388611,0.7192334450002295,0.7128868901024379,0.7117394882347854,0.004443564783652194,50,0.9533049850714649,0.9539732159530547,0.9532021409945235,0.9531974605006854,0.9533920833882492,0.9534139771815955,0.0002887423297774548,RF
97.16553635597229,1.3337606766018966,3.0308666229248047,0.1910360875816962,900,12,0.02,16,"{'n_estimators': 900, 'min_samples_leaf': 12, 'max_features': 0.02, 'max_depth': 16}",0.7236206055347181,0.7219060369426447,0.7263410684329412,0.7340359475624494,0.7276685685731621,0.7267144454091831,0.004179636163797514,33,0.95265090070252,0.9510521879867324,0.9521479923205232,0.9524277130102687,0.950952015250864,0.9518461618541817,0.0007080678840337051,RF
