mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
27.531520557403564,0.19014313362395655,0.6789648056030273,0.02145199386350633,0.8,4.0,0.1,950,3,3,0.04,0.0,0.8,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.1, 'n_estimators': 950, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.04, 'gamma': 0.0, 'colsample_bytree': 0.8}",0.7440613355371193,0.7422521237865625,0.749806148307915,0.7571337402291466,0.7495828043177867,0.748567230435706,0.005217950913382063,57,0.7928454566788224,0.7925027536496614,0.7913901786872846,0.7900846026028747,0.791498253227463,0.7916642489692212,0.0009691535998773188,XGB
18.841577577590943,0.44438538576405684,0.6104818820953369,0.04258490064383391,0.8,2.0,0.05,500,5,4,0.06,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.06, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.741553577337032,0.7420062983278384,0.7486027360939022,0.7568711955496408,0.7505689606820349,0.7479205535980897,0.0057115711760481165,79,0.8210640317714001,0.8204737278049337,0.8201446823242271,0.8189480602845567,0.8203761417944901,0.8202013287959217,0.0006961189571923697,XGB
27.822268962860107,0.2281239871220876,0.6973292827606201,0.04454599961591434,0.8,4.0,0.05,650,3,5,0.06,0.3,0.9,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.05, 'n_estimators': 650, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.7425129889628866,0.7428427513404465,0.7475780113094601,0.7572555234322018,0.7487710624671755,0.7477920675024341,0.005346506336429747,86,0.8970043707854756,0.8959726638846977,0.8969553444942886,0.8961158395457371,0.8971500151810136,0.8966396467782426,0.0004924235479792431,XGB
32.84639711380005,0.4954877497232465,0.7227593898773194,0.048179184259494294,0.8,2.0,0.0,800,5,5,0.04,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7433008356474956,0.7439085218098848,0.749662582411699,0.7570722979415558,0.7505839005909677,0.7489056276803205,0.005029291091103694,48,0.881672665146641,0.8802620967150849,0.8817432984939059,0.8802523598127089,0.8818907920461176,0.8811642424428916,0.0007439181039981197,XGB
37.31549730300903,0.6360487628291035,0.7342967510223388,0.030380158610226762,0.8,1.0,0.05,950,5,5,0.06,0.0,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 950, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.0, 'colsample_bytree': 0.8}",0.7415275764693166,0.7409913672020976,0.744943733141613,0.7555850580514892,0.748945538168153,0.7463986546065339,0.005402954375007678,133,0.9351334205561398,0.9339498738247833,0.9353188968820416,0.9340532617765024,0.9342914418087915,0.9345493789696517,0.0005666273306594128,XGB
27.442047595977783,0.9282794636534414,0.6564039707183837,0.017917306087473706,0.8,1.0,0.1,800,1,4,0.05,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7451372106575007,0.7430290501067309,0.750921909656892,0.75794948985055,0.7499038440946567,0.749388300873266,0.00518504649455254,31,0.8426934919285975,0.8416025329625344,0.8420386297522882,0.8408904633153549,0.8420228311736185,0.8418495898264787,0.0005931071023402123,XGB
28.378223180770874,1.1991768450678182,0.6629307746887207,0.05061721890214716,0.8,4.0,0.1,650,5,5,0.04,0.1,0.9,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.1, 'n_estimators': 650, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.7436635528503324,0.7411300792822537,0.7489402352653237,0.7569319341828176,0.7491108765596398,0.7479553356280735,0.005438531922320263,76,0.86276154764225,0.861729490201647,0.8625044185544362,0.8609457293425411,0.862029424908538,0.8619941221298826,0.0006355703168205155,XGB
21.755670738220214,0.18528683152752357,0.6462099552154541,0.045894791947880195,0.8,2.0,0.1,500,5,5,0.06,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7420645810571953,0.7410647304347293,0.7482636868431922,0.75631379927493,0.7480301449630071,0.7471473885146107,0.00545677795220552,106,0.8739764753360817,0.8736596880348522,0.8744418842505717,0.873742913933723,0.8739209587976331,0.8739483840705724,0.0002722671741618866,XGB
16.116631078720093,0.3385206989291163,0.5797989368438721,0.017294205950610105,0.8,4.0,0.1,500,1,3,0.06,0.0,0.9,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.06, 'gamma': 0.0, 'colsample_bytree': 0.9}",0.7410296955400355,0.7395801624595393,0.7478692630494751,0.7543663795960616,0.747185922832566,0.7460062846955354,0.0053068805873505666,136,0.7843174046337286,0.7838535709746907,0.7825680851248247,0.7816395405366201,0.782551975532948,0.7829861153605624,0.0009696701290353523,XGB
22.945125675201417,0.5247910732823861,0.6443482875823975,0.04030433901540166,0.8,4.0,0.05,500,1,5,0.05,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.743023421683602,0.742389897796197,0.7466651369831583,0.7563593634477027,0.748955266955267,0.7474786173731853,0.005048836118136186,97,0.8596779584254668,0.8590890967710438,0.8600762919220949,0.8584793646561022,0.8595559706505504,0.8593757364850516,0.0005477673150951714,XGB
27.54113926887512,0.48741787672653225,0.6699207782745361,0.02239920238710607,0.8,1.0,0.0,800,5,4,0.05,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7436059838702853,0.7433700591341302,0.7494086549492909,0.758593874127443,0.7508017581162457,0.749156066039479,0.005587944399646004,39,0.8413396535876222,0.840823105112362,0.8407145547552772,0.8390614443555309,0.8407595280298104,0.8405396571681205,0.000772577826426296,XGB
31.85376214981079,0.5573573702319607,0.7093432426452637,0.036098395551145634,0.8,4.0,0.1,950,1,4,0.04,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.1, 'n_estimators': 950, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7445896221869992,0.7439058095625073,0.7507400404856235,0.7580265858993774,0.7507612520969412,0.7496046620462897,0.005122170058777113,20,0.8358159094857733,0.835139716888741,0.8353411630058458,0.8340962153771557,0.834845257545703,0.8350476524606438,0.0005711461076041231,XGB
31.14700903892517,0.401869661541964,0.7133407115936279,0.04960407141693193,0.8,1.0,0.05,950,1,4,0.05,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 950, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7448117409722184,0.7452476276757314,0.7498287264365002,0.7584155028324641,0.7495504362147472,0.7495708068263323,0.004891506326276035,21,0.8549267588463186,0.8541698592346785,0.8542767432481455,0.8529969283621867,0.854311385530697,0.8541363350444053,0.0006284104362401375,XGB
24.251637744903565,0.6514022303734548,0.6510687828063965,0.03641012330939669,0.8,2.0,0.05,800,1,3,0.04,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.05, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.04, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7416057728044179,0.7408087187537121,0.7479824290354326,0.7558783187758452,0.747711624064981,0.7467973726868777,0.0054317673233142995,119,0.7870379525007065,0.7869857838892661,0.7859014462878917,0.7843234455776599,0.7856526828840509,0.7859802622279151,0.0009988337315184035,XGB
38.40695099830627,0.7435400243615344,0.7666476249694825,0.068165387240252,0.8,1.0,0.1,950,1,5,0.06,0.0,0.9,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 950, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.0, 'colsample_bytree': 0.9}",0.7419564990188496,0.7419005206801216,0.7473166189915307,0.7560494393709941,0.7488594475802957,0.7472165051283584,0.0052279511272900914,104,0.9424878735527645,0.9418232768131418,0.9425917852234568,0.9417572787924937,0.942072289284091,0.9421465007331896,0.0003394962267844718,XGB
23.446449518203735,0.6394118107190692,0.6505785942077636,0.022617555148448855,0.8,1.0,0.1,800,3,3,0.05,0.3,0.9,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.7425699053721361,0.7419783295513116,0.7501138594424814,0.757148231430917,0.7492444383257104,0.7482109528245113,0.0055719135670252535,71,0.7963116148630416,0.7960013743710519,0.7951210395845884,0.7939608857554168,0.7948996542654824,0.7952589137679162,0.0008357488551756797,XGB
33.2530321598053,0.4509251319396767,0.7277245998382569,0.034665601757601874,0.8,1.0,0.0,800,3,5,0.05,0.3,0.9,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.7428024347008599,0.7425678253027189,0.7486986676456642,0.7566757835803772,0.7489782428015643,0.747944590806237,0.005161824721516451,77,0.9072560437208566,0.9053106088774784,0.9067519826454631,0.9059698347780577,0.9069964931986254,0.9064569926440962,0.0007166702309045172,XGB
26.61858458518982,0.29632869945980533,0.6397924423217773,0.019802238382163342,0.8,4.0,0.0,950,1,3,0.06,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.0, 'n_estimators': 950, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.06, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.746221620180344,0.7436917051623957,0.7518502439845196,0.7596592273058704,0.7522075270626507,0.7507260647391562,0.005532307628351107,1,0.8081691151979664,0.8078353980978817,0.8072922514628454,0.8057989393939782,0.8071092603417627,0.8072409928988871,0.0008141532731182573,XGB
26.909095001220702,1.0472405041392923,0.6986178874969482,0.03269021672101581,0.8,4.0,0.05,650,5,5,0.06,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 4.0, 'reg_alpha': 0.05, 'n_estimators': 650, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7427143070539334,0.7427737215857675,0.7472997210877069,0.7582972786930384,0.7492193821098415,0.7480608821060576,0.005713934451774682,73,0.8912587005577918,0.8901200554286317,0.8914100695114519,0.8914035777480758,0.8914748456596959,0.8911334497811293,0.0005116042631490088,XGB
