mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
22.482276153564452,0.6750023513524536,0.6044305324554443,0.013455172026207654,0.8,8.0,0.05,1100,3,3,0.08,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 0.05, 'n_estimators': 1100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.7462627321405902,0.7449476592336475,0.7515382803297999,0.759583966877253,0.7524981669292623,0.7509661611021106,0.00520164488176499,60,0.8268903344443109,0.8268820298371851,0.8261091043253015,0.825215213491447,0.8260606276909335,0.8262314619578355,0.0006219755946176606,XGB
19.546027755737306,0.5359117528705564,0.561929178237915,0.012153974393447956,0.8,8.0,0.05,1100,2,2,0.07,0.3,0.75,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 0.05, 'n_estimators': 1100, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.07, 'gamma': 0.3, 'colsample_bytree': 0.75}",0.7449599459181953,0.7437356619234626,0.7510384715402383,0.7579054145697256,0.7511809156685482,0.749764081924034,0.005085948376992678,111,0.7799981669953882,0.7802064501112358,0.7789195165376175,0.7777824286715428,0.7793434288135381,0.7792499982258645,0.0008655939619096816,XGB
22.328410720825197,0.2700455497785025,0.6175887584686279,0.05223971662059621,0.8,12.0,0.1,1100,3,3,0.08,0.2,0.75,"{'subsample': 0.8, 'reg_lambda': 12.0, 'reg_alpha': 0.1, 'n_estimators': 1100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.2, 'colsample_bytree': 0.75}",0.7471469757677012,0.7454219864357042,0.751699549763154,0.7593308858397197,0.7519620638489897,0.7511122923310538,0.0048314713869625015,51,0.8259323671011108,0.8255331016031398,0.8253057909894375,0.8238893871331797,0.825180030759716,0.8251681355173167,0.0006886999510961174,XGB
19.233634805679323,0.4776639144964121,0.5753514766693115,0.04733837484133266,0.8,8.0,0.1,1100,3,2,0.07,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 0.1, 'n_estimators': 1100, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.07, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7452056388234761,0.7440382202558995,0.7509555830898587,0.7577761461153687,0.7507100076994071,0.749737119196802,0.004900385364582693,113,0.7799569881261327,0.7800215327054294,0.7787629940425675,0.7774026930174731,0.7786421106019048,0.7789572636987016,0.0009680774376189161,XGB
19.257398748397826,0.6748765860934844,0.5781341075897217,0.03327095058378034,0.8,12.0,0.1,1100,3,2,0.06,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 12.0, 'reg_alpha': 0.1, 'n_estimators': 1100, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.06, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.7439123760561577,0.7432037453485213,0.7502187447417129,0.7570761527439973,0.7501261682957796,0.7489074374372338,0.005048078508875714,119,0.7759809500088144,0.7757105709936836,0.774616969390437,0.7734056583499525,0.7748423819481817,0.7749113061382139,0.0009100903522686339,XGB
20.9991623878479,0.18737440236581382,0.5837896347045899,0.03956000083270697,0.8,12.0,0.1,1250,2,2,0.07,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 12.0, 'reg_alpha': 0.1, 'n_estimators': 1250, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.07, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7460420918360844,0.7450743701289796,0.7521221095355372,0.7590874418082899,0.751878084224374,0.7508408195066529,0.005039923160131569,66,0.7826484953619758,0.7827476324858894,0.7813657335590642,0.7802051380656456,0.7819679418038206,0.7817869882552791,0.0009356795991096586,XGB
23.790170097351073,1.089807798841716,0.5869410991668701,0.016447303719094315,0.8,12.0,0.1,1400,2,2,0.08,0.2,0.75,"{'subsample': 0.8, 'reg_lambda': 12.0, 'reg_alpha': 0.1, 'n_estimators': 1400, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.08, 'gamma': 0.2, 'colsample_bytree': 0.75}",0.7470332449133891,0.7466242971481126,0.7528217051891963,0.7595346396830496,0.7534825590585309,0.7518992891984557,0.00475731226319645,6,0.7893261419982021,0.7894367781030645,0.788075768935542,0.78693524526578,0.788042803447556,0.7883633475500289,0.0009278095081470884,XGB
22.622121953964232,2.810242204360952,0.5865416526794434,0.03585196051501858,0.8,10.0,0.1,1250,2,2,0.07,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 1250, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.07, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7456539243721428,0.7447584544880302,0.7524397942065786,0.7584409669639353,0.7520815321310022,0.7506749344323378,0.005012380379548697,83,0.7828347390830108,0.782943086481489,0.7817837193763523,0.7804387625192376,0.7818632520815578,0.7819727119083295,0.0009039267692948405,XGB
27.63374090194702,0.5855100828278115,0.6704867362976075,0.04347233457133513,0.8,12.0,0.1,1400,2,3,0.06,0.2,0.75,"{'subsample': 0.8, 'reg_lambda': 12.0, 'reg_alpha': 0.1, 'n_estimators': 1400, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.06, 'gamma': 0.2, 'colsample_bytree': 0.75}",0.7483332577098947,0.7453506013083024,0.7522710905113732,0.7594988042973908,0.7536659171217475,0.7518239341897417,0.004828775040275563,8,0.8239087778103957,0.8235636165410438,0.8228605471589071,0.8220729801412968,0.8231986905324267,0.823120922436814,0.0006306695452256418,XGB
27.117023181915282,0.3802063139664575,0.6512592315673829,0.01416841853687527,0.8,10.0,0.05,1400,2,3,0.08,0.2,0.75,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.05, 'n_estimators': 1400, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.2, 'colsample_bytree': 0.75}",0.7476417671821127,0.7454637509667479,0.7503452699636445,0.7586498911375237,0.7521575268077034,0.7508516412115466,0.00451900660574389,65,0.8406585343126864,0.8398389581803439,0.8396267000249575,0.8388900365644463,0.8400697498102692,0.8398167957785407,0.0005775845757162269,XGB
