model,best_params,cv_auc_mean,cv_auc_std,train_auc_mean,source_csv
RF,"{'n_estimators': 1100, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 0.04, 'ccp_alpha': 3e-05}",0.7302527580273479,0.0047696088974872,0.9986753087256938,hpsearch_rf_p2_round2.csv
XGB,"{'subsample': 0.8, 'reg_lambda': 4, 'reg_alpha': 0, 'n_estimators': 950, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.06, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7507260647391562,0.0055323076283511,0.8072409928988871,hpsearch_xgb_p2_round2.csv
