mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
277.53567419052126,2.7727199591263543,3.4164193153381346,0.15225704121194883,1100,12,8,0.8,0.04,20,0.0001,"{'n_estimators': 1100, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0001}",0.7246296839161182,0.7227081076313566,0.7277756464187559,0.736666003803813,0.7291032281420975,0.7281765339824282,0.00480779373314731,48,0.9109535970676006,0.9104256522239585,0.9111113253929792,0.9107881061921455,0.909693493935115,0.9105944349623598,0.0005047502407545262,RF
210.96685633659362,3.168021208379161,3.248307466506958,0.16451892700264117,900,48,8,,0.04,20,0.0,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7254506383722845,0.7235279812671396,0.7282628404183175,0.7383659920762394,0.729552037283486,0.7290318978834934,0.005120660632879756,33,0.9562247205018506,0.9538934700549124,0.9558147296874597,0.9552032063422221,0.9555092509858737,0.9553290755144637,0.0007933863124218529,RF
158.87562880516052,4.625778195031385,2.0913793087005614,0.10496519283224735,700,12,12,0.8,0.04,28,0.0001,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 0.0001}",0.7233535001501422,0.7220149550873247,0.7266984432920829,0.7354357303473912,0.7284114440722214,0.7271828145898326,0.004716464467715615,54,0.8901086953889228,0.8907490755627471,0.8882498789725245,0.8886728964481527,0.8904659118053221,0.8896492916355339,0.000999914832395369,RF
253.56673555374147,2.6680599550760804,4.05690746307373,0.3745633649518658,1100,48,12,,0.04,,1e-05,"{'n_estimators': 1100, 'min_samples_split': 48, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 1e-05}",0.7248293909730086,0.7234947205493014,0.7286608028798842,0.7365296784095372,0.7295245845634538,0.728607835475037,0.004561127426737141,41,0.9473346060690807,0.9473590151131103,0.9477303645508166,0.9481718477982941,0.9473923582015584,0.9475976383465721,0.0003211229372769772,RF
279.1696171760559,3.7645697524359973,4.3665422916412355,0.23815528187340398,1100,24,12,,0.04,28,3e-05,"{'n_estimators': 1100, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 3e-05}",0.7271979170755856,0.7242117734987941,0.7285373676186397,0.7376007831979564,0.730230135784906,0.7295555954351765,0.004479551737466856,16,0.973402352287935,0.9726941088786892,0.9737970748443087,0.9737427112652808,0.9734536920454292,0.9734179878643285,0.0003936171416907185,RF
194.5169309616089,2.3298238060715004,3.5543636322021483,0.19371627786818976,900,24,12,0.8,0.04,20,3e-05,"{'n_estimators': 900, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 3e-05}",0.724974812296677,0.7239852702535288,0.7292729822199787,0.7370280492966006,0.7294998444821766,0.7289521917097923,0.004606781123984494,35,0.9591552410866327,0.958989407706242,0.958849796681489,0.958174882726352,0.9590724247787791,0.958848350595899,0.0003515250157784544,RF
185.4876871585846,2.747062552908726,3.49474835395813,0.24893763298924815,900,48,6,0.8,0.04,20,1e-05,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 6, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7261994837553206,0.7237259345400116,0.7285263946889386,0.7365093438167644,0.7295429407655556,0.7289008195133182,0.004301599820815711,37,0.9459074730374326,0.9453447826863409,0.9452863348189737,0.9453020830491938,0.9463685881249551,0.9456418523433794,0.00043099547883836234,RF
208.2436131477356,2.1716987983027543,3.699972915649414,0.21470687318454817,900,12,8,0.8,0.04,20,1e-05,"{'n_estimators': 900, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7273693800526442,0.7238822252460269,0.7296684360005915,0.7387474135601344,0.7306526751615092,0.7300640260041812,0.0049270680154813885,3,0.9885042580391211,0.9881040690280474,0.9885879337582658,0.9888104688065227,0.9882850476831683,0.9884583554630251,0.0002443095791519097,RF
239.5133828639984,3.925809658321494,2.386979675292969,0.1148769913392304,900,24,12,,0.04,,0.0001,"{'n_estimators': 900, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 0.0001}",0.7238828982096618,0.7218635382694536,0.7264661557523748,0.7349461908331165,0.7277087278642049,0.7269735021857624,0.0044727013231922515,57,0.8821104868386317,0.8812804174559655,0.8820960378192059,0.8806655376717296,0.8807713650140223,0.8813847689599111,0.0006224174021995263,RF
210.03330812454223,4.138506122123685,2.3247045040130616,0.20581352601656727,900,48,12,,0.04,28,0.0001,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 0.0001}",0.7226554941108035,0.7217038419595885,0.7262650533604598,0.734304967902141,0.7273294275414416,0.7264517569748868,0.004459425847722856,60,0.8721898745488075,0.8721538135609963,0.8725495524341499,0.872029154683948,0.8711681643312209,0.8720181119118244,0.0004588854328502593,RF
