mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,sweep_param,anchor_params
310.0591052532196,2.9123361183420364,3.9717562198638916,0.09042115221267381,28,0.08,4,700,"{'max_depth': 28, 'max_features': 0.08, 'min_samples_leaf': 4, 'n_estimators': 700}",0.7255423653550164,0.7218158598155571,0.7288444668798026,0.7371129773249914,0.7298449614774702,0.7286321261705675,0.00508820210451046,1,0.9999990503557469,0.9999991867476061,0.9999996583953299,0.9999996520221085,0.9999998024301349,0.9999994699901853,2.9511620091289256e-07,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
298.123068189621,5.877175660732069,3.51780252456665,0.24404179476778742,28,sqrt,4,700,"{'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",0.7242866559978138,0.7224295414721488,0.7282451368811793,0.7365304330534013,0.729508920604327,0.728200137601774,0.004893339925860474,2,0.9999994353122093,0.9999994047196427,0.9999995729941623,0.9999995882898939,0.9999996889867929,0.9999995380605402,1.0474645020797684e-07,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
457.8289532184601,12.227098256171445,3.6703471183776855,0.09090349020726685,28,0.12,4,700,"{'max_depth': 28, 'max_features': 0.12, 'min_samples_leaf': 4, 'n_estimators': 700}",0.7229775377993988,0.719921018540658,0.7267909177591156,0.7368209301495521,0.7278769318627977,0.7268774672223044,0.005718050421721514,3,0.9999985608746823,0.999998124930609,0.999999291297774,0.9999993155160155,0.9999993728750086,0.9999989330988178,5.019241305311274e-07,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
576.1693821907044,9.425008423846222,3.580642890930176,0.14103530036049872,28,0.15,4,700,"{'max_depth': 28, 'max_features': 0.15, 'min_samples_leaf': 4, 'n_estimators': 700}",0.7219950108923243,0.7187100306759258,0.7250685553159051,0.7349798642660834,0.7262303805342675,0.7253967683369013,0.005457522788392176,4,0.9999982613224682,0.99999625878405,0.999998796735789,0.9999987801654131,0.999998442384676,0.9999981078784792,9.466872531457509e-07,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
756.2513537883758,5.579793469009084,3.430320978164673,0.17025521943465793,28,0.2,4,700,"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 4, 'n_estimators': 700}",0.7205574178181398,0.7179498264824445,0.7258096971736547,0.7332457130619674,0.725867090898893,0.7246859490870199,0.0052601821875439166,5,0.9999967775829909,0.9999955972197986,0.9999977336824499,0.999997638084128,0.9999969982126938,0.9999969489564122,7.68072765614135e-07,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
924.6800779342651,11.043002196030775,3.3597179889678954,0.24068611523798997,28,0.25,4,700,"{'max_depth': 28, 'max_features': 0.25, 'min_samples_leaf': 4, 'n_estimators': 700}",0.7202898637911407,0.717131217202582,0.7245409368801595,0.7338213023725391,0.7253205655749825,0.7242207771642807,0.005642624592581759,6,0.9999955092661699,0.9999935143758931,0.9999967432838355,0.9999973105005452,0.9999962920597564,0.9999958738972401,1.3186977517727555e-06,RF,max_features,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
457.06965985298154,14.070438507095211,4.624358034133911,0.4740082663457124,28,sqrt,4,1100,"{'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 1100}",0.724709236374908,0.7229038788706244,0.729239492349033,0.7375224837981021,0.7306530422855511,0.7290056267356437,0.005118511941602587,1,0.9999995920991127,0.9999996341638918,0.9999996966346587,0.999999724676833,0.9999997425218531,0.9999996780192699,5.655017546730856e-08,RF,n_estimators,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
396.45979619026184,1.0671471564364137,4.763955450057983,0.08295717377466955,28,sqrt,4,900,"{'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",0.7247489004436972,0.7227797680620635,0.7288658416573612,0.7373219524880302,0.7302379473686895,0.7287908820039684,0.005046778903014862,2,0.9999995576824754,0.9999995666053073,0.9999996405503099,0.9999996953600143,0.9999997335993431,0.9999996387594899,6.925479406978236e-08,RF,n_estimators,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
296.09952030181887,9.725586508510121,3.541425323486328,0.1030343042609122,28,sqrt,4,700,"{'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",0.7242866559978138,0.7224295414721488,0.7282451368811793,0.7365304330534013,0.729508920604327,0.728200137601774,0.004893339925860474,3,0.9999994353122093,0.9999994047196427,0.9999995729941623,0.9999995882898939,0.9999996889867929,0.9999995380605402,1.0474645020797684e-07,RF,n_estimators,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
206.09987330436707,1.4389892725384177,2.6348470211029054,0.1031514254907468,28,sqrt,4,500,"{'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",0.7237249556838152,0.7216847950494347,0.728044360821746,0.7360294107149231,0.7292737776554031,0.7277514599850645,0.004978852691227155,4,0.9999991344853049,0.9999986959918512,0.9999994034664716,0.9999995283816121,0.9999994863183506,0.9999992497287181,3.0892165623094265e-07,RF,n_estimators,"{'n_estimators': 700, 'max_depth': 28, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
